orderitemid,orderid,itemid
444,444,5
445,445,12
446,446,1
447,447,5
448,448,20
449,449,20
450,450,3
451,451,12
452,452,17
453,453,16
454,454,15
455,455,19
456,456,20
457,457,1
458,458,10
459,459,15
460,460,14
461,461,12
462,462,14
463,463,10
464,464,18
465,465,11
466,466,1
467,467,6
468,468,13
469,469,15
470,470,5
471,471,7
472,472,8
473,473,12
474,474,3
475,475,1
476,476,14
477,477,12
478,478,8
479,479,19
480,480,8
481,481,11
482,482,4
483,483,14
484,484,16
485,485,14
486,486,4
487,487,12
488,488,19
489,489,20
490,490,14
491,491,6
492,492,5
493,493,18
494,494,11
495,495,2
496,496,20
497,497,12
498,498,9
499,499,2
500,500,6
501,501,7
502,502,2
503,503,18
504,504,13
505,505,6
506,506,13
507,507,16
508,508,6
509,509,14
510,510,1
511,511,18
512,512,12
513,513,19
514,514,16
515,515,3
516,516,8
517,517,11
518,518,13
519,519,20
520,520,16
521,521,14
522,522,10
523,523,12
524,524,12
525,525,13
526,526,5
527,527,13
528,528,13
529,529,10
530,530,17
531,531,5
532,532,12
533,533,2
534,534,8
535,535,10
536,536,15
537,537,10
538,538,5
539,539,10
540,540,4
541,541,16
542,542,15
543,543,3
544,544,13
545,545,20
546,546,7
547,547,15
548,548,11
549,549,14
550,550,6
551,551,5
552,552,14
553,553,12
554,554,7
555,555,5
556,556,15
557,557,15
558,558,10
559,559,1
560,560,1
561,561,19
562,562,5
563,563,9
564,564,20
565,565,20
566,566,11
567,567,17
568,568,3
569,569,14
570,570,17
571,571,5
572,572,18
573,573,17
574,574,14
575,575,11
576,576,13
577,577,11
578,578,14
579,579,12
580,580,6
581,581,12
582,582,4
583,583,2
584,584,19
585,585,16
586,586,9
587,587,17
588,588,7
589,589,20
590,590,15
591,591,18
592,592,14
593,593,6
594,594,8
595,595,8
596,596,2
597,597,13
598,598,14
599,599,2
600,600,7
601,601,14
602,602,10
603,603,7
604,604,12
605,605,12
606,606,3
607,607,4
608,608,2
609,609,7
610,610,2
611,611,11
612,612,3
613,613,8
614,614,5
615,615,13
616,616,5
617,617,13
618,618,6
619,619,17
620,620,3
621,621,15
622,622,6
623,623,2
624,624,2
625,625,13
626,626,1
627,627,4
628,628,5
629,629,11
630,630,4
631,631,16
632,632,10
633,633,16
634,634,9
635,635,2
636,636,2
637,637,15
638,638,14
639,639,7
640,640,11
641,641,16
642,642,1
643,643,17
644,644,6
645,645,18
646,646,8
647,647,4
648,648,4
649,649,16
650,650,15
651,651,10
652,652,13
653,653,12
654,654,3
655,655,14
656,656,17
657,657,4
658,658,15
659,659,6
660,660,14
661,661,12
662,662,4
663,663,7
664,664,13
665,665,3
666,666,16
667,667,11
668,668,16
669,669,17
670,670,9
671,671,18
672,672,14
673,673,7
674,674,9
675,675,13
676,676,14
677,677,6
678,678,7
679,679,2
680,680,1
681,681,7
682,682,3
683,683,10
684,684,1
685,685,6
686,686,18
687,687,16
688,688,13
689,689,11
690,690,12
691,691,11
692,692,2
693,693,6
694,694,14
695,695,12
696,696,1
697,697,12
698,698,5
699,699,17
700,700,10
701,701,13
702,702,14
703,703,14
704,704,8
705,705,19
706,706,17
707,707,9
708,708,12
709,709,1
710,710,19
711,711,8
712,712,8
713,713,1
714,714,5
715,715,6
716,716,12
717,717,9
718,718,10
719,719,18
720,720,11
721,721,5
722,722,18
723,723,20
724,724,12
725,725,18
726,726,18
727,727,1
728,728,8
729,729,9
730,730,14
731,731,14
732,732,2
733,733,13
734,734,1
735,735,2
736,736,4
737,737,14
738,738,9
739,739,18
740,740,5
741,741,20
742,742,14
743,743,6
744,744,15
745,745,17
746,746,11
747,747,19
748,748,7
749,749,13
750,750,14
751,751,17
752,752,18
753,753,11
754,754,6
755,755,18
756,756,7
757,757,1
758,758,12
759,759,9
760,760,17
761,761,16
762,762,17
763,763,16
764,764,18
765,765,9
766,766,18
767,767,15
768,768,20
769,769,12
770,770,3
771,771,13
772,772,16
773,773,10
774,774,10
775,775,11
776,776,3
777,777,6
778,778,5
779,779,11
780,780,5
781,781,14
782,782,16
783,783,15
784,784,15
785,785,10
786,786,6
787,787,9
788,788,12
789,789,4
790,790,11
791,791,15
792,792,4
793,793,8
794,794,7
795,795,16
796,796,18
797,797,3
798,798,14
799,799,15
800,800,20
801,801,9
802,802,5
803,803,19
804,804,16
805,805,8
806,806,9
807,807,13
808,808,12
809,809,10
810,810,17
811,811,12
812,812,12
813,813,14
814,814,15
815,815,15
816,816,1
817,817,3
818,818,8
819,819,16
820,820,3
821,821,4
822,822,2
823,823,5
824,824,6
825,825,18
826,826,9
827,827,15
828,828,3
829,829,5
830,830,14
831,831,18
832,832,19
833,833,3
834,834,2
835,835,8
836,836,9
837,837,16
838,838,18
839,839,13
840,840,9
841,841,13
842,842,1
843,843,18
844,844,12
845,845,8
846,846,17
847,847,14
848,848,2
849,849,3
850,850,3
851,851,17
852,852,13
853,853,2
854,854,1
855,855,14
856,856,9
857,857,7
858,858,3
859,859,20
860,860,2
861,861,13
862,862,6
863,863,13
864,864,6
865,865,5
866,866,20
867,867,1
868,868,17
869,869,2
870,870,19
871,871,9
872,872,12
873,873,17
874,874,11
875,875,2
876,876,10
877,877,9
878,878,16
879,879,13
880,880,16
881,881,9
882,882,12
883,883,13
884,884,5
885,885,3
886,886,19
887,887,16
888,888,12
889,889,9
890,890,3
891,891,8
892,892,11
893,893,16
894,894,12
895,895,16
896,896,12
897,897,13
898,898,11
899,899,11
900,900,20
901,901,5
902,902,20
903,903,14
904,904,17
905,905,6
906,906,10
907,907,9
908,908,18
909,909,4
910,910,10
911,911,17
912,912,8
913,913,8
914,914,18
915,915,11
916,916,14
917,917,6
918,918,9
919,919,12
920,920,2
921,921,9
922,922,5
923,923,12
924,924,18
925,925,13
926,926,4
927,927,7
928,928,20
929,929,3
930,930,3
931,931,14
932,932,4
933,933,10
934,934,9
935,935,13
936,936,17
937,937,2
938,938,12
939,939,4
940,940,11
941,941,5
942,942,15
943,943,9
944,944,8
945,945,12
946,946,4
947,947,2
948,948,6
949,949,12
950,950,1
951,951,11
952,952,12
953,953,11
954,954,9
955,955,8
956,956,1
957,957,4
958,958,20
959,959,20
960,960,18
961,961,3
962,962,12
963,963,20
964,964,9
965,965,1
966,966,12
967,967,7
968,968,17
969,969,7
970,970,8
971,971,12
972,972,3
973,973,16
974,974,19
975,975,8
976,976,6
977,977,4
978,978,6
979,979,20
980,980,16
981,981,18
982,982,4
983,983,15
984,984,6
985,985,15
986,986,3
987,987,12
988,988,6
989,989,9
990,990,1
991,991,9
992,992,17
993,993,2
994,994,16
995,995,16
996,996,14
997,997,15
998,998,20
999,999,19
1000,1000,13
1001,1001,13
1002,1002,8
1003,1003,6
1004,1004,1
1005,1005,20
1006,1006,8
1007,1007,17
1008,1008,19
1009,1009,3
1010,1010,20
1011,1011,19
1012,1012,16
1013,1013,3
1014,1014,12
1015,1015,1
1016,1016,3
1017,1017,5
1018,1018,3
1019,1019,1
1020,1020,1
1021,1021,3
1022,1022,6
1023,1023,4
1024,1024,10
1025,1025,9
1026,1026,10
1027,1027,2
1028,1028,6
1029,1029,18
1030,1030,3
1031,1031,8
1032,1032,7
1033,1033,1
1034,1034,3
1035,1035,5
1036,1036,18
1037,1037,1
1038,1038,17
1039,1039,13
1040,1040,12
1041,1041,19
1042,1042,3
1043,1043,7
1044,1044,19
1045,1045,11
1046,1046,6
1047,1047,10
1048,1048,8
1049,1049,19
1050,1050,6
1051,1051,9
1052,1052,2
1053,1053,3
1054,1054,9
1055,1055,18
1056,1056,14
1057,1057,2
1058,1058,8
1059,1059,3
1060,1060,20
1061,1061,13
1062,1062,9
1063,1063,18
1064,1064,15
1065,1065,17
1066,1066,9
1067,1067,19
1068,1068,12
1069,1069,18
1070,1070,8
1071,1071,4
1072,1072,16
1073,1073,10
1074,1074,6
1075,1075,3
1076,1076,17
1077,1077,15
1078,1078,8
1079,1079,18
1080,1080,11
1081,1081,10
1082,1082,12
1083,1083,7
1084,1084,6
1085,1085,17
1086,1086,16
1087,1087,8
1088,1088,18
1089,1089,8
1090,1090,16
1091,1091,14
1092,1092,11
1093,1093,7
1094,1094,9
1095,1095,16
1096,1096,18
1097,1097,9
1098,1098,17
1099,1099,17
1100,1100,9
1101,1101,19
1102,1102,20
1103,1103,12
1104,1104,15
1105,1105,12
1106,1106,5
1107,1107,18
1108,1108,4
1109,1109,17
1110,1110,3
1111,1111,2
1112,1112,20
1113,1113,13
1114,1114,16
1115,1115,20
1116,1116,10
1117,1117,11
1118,1118,10
1119,1119,14
1120,1120,19
1121,1121,6
1122,1122,10
1123,1123,14
1124,1124,13
1125,1125,2
1126,1126,6
1127,1127,14
1128,1128,6
1129,1129,14
1130,1130,9
1131,1131,18
1132,1132,20
1133,1133,16
1134,1134,16
1135,1135,13
1136,1136,16
1137,1137,2
1138,1138,14
1139,1139,5
1140,1140,16
1141,1141,2
1142,1142,3
1143,1143,16
1144,1144,9
1145,1145,19
1146,1146,8
1147,1147,4
1148,1148,17
1149,1149,4
1150,1150,19
1151,1151,2
1152,1152,9
1153,1153,9
1154,1154,16
1155,1155,11
1156,1156,15
1157,1157,17
1158,1158,11
1159,1159,1
1160,1160,2
1161,1161,11
1162,1162,6
1163,1163,10
1164,1164,12
1165,1165,7
1166,1166,7
1167,1167,12
1168,1168,20
1169,1169,13
1170,1170,13
1171,1171,4
1172,1172,8
1173,1173,1
1174,1174,19
1175,1175,8
1176,1176,13
1177,1177,8
1178,1178,6
1179,1179,10
1180,1180,17
1181,1181,16
1182,1182,18
1183,1183,10
1184,1184,11
1185,1185,5
1186,1186,14
1187,1187,12
1188,1188,15
1189,1189,7
1190,1190,18
1191,1191,18
1192,1192,19
1193,1193,6
1194,1194,17
1195,1195,12
1196,1196,18
1197,1197,15
1198,1198,12
1199,1199,17
1200,1200,9
1201,1201,11
1202,1202,20
1203,1203,13
1204,1204,13
1205,1205,1
1206,1206,1
1207,1207,8
1208,1208,5
1209,1209,5
1210,1210,11
1211,1211,18
1212,1212,19
1213,1213,11
1214,1214,3
1215,1215,11
1216,1216,3
1217,1217,5
1218,1218,12
1219,1219,5
1220,1220,12
1221,1221,18
1222,1222,10
1223,1223,12
1224,1224,9
1225,1225,19
1226,1226,16
1227,1227,4
1228,1228,3
1229,1229,2
1230,1230,12
1231,1231,6
1232,1232,17
1233,1233,13
1234,1234,11
1235,1235,17
1236,1236,12
1237,1237,10
1238,1238,6
1239,1239,1
1240,1240,4
1241,1241,1
1242,1242,19
1243,1243,20
1244,1244,4
1245,1245,8
1246,1246,13
1247,1247,7
1248,1248,19
1249,1249,6
1250,1250,16
1251,1251,14
1252,1252,15
1253,1253,8
1254,1254,19
1255,1255,11
1256,1256,9
1257,1257,10
1258,1258,16
1259,1259,9
1260,1260,1
1261,1261,5
1262,1262,4
1263,1263,13
1264,1264,17
1265,1265,17
1266,1266,18
1267,1267,2
1268,1268,8
1269,1269,11
1270,1270,8
1271,1271,6
1272,1272,11
1273,1273,4
1274,1274,10
1275,1275,6
1276,1276,3
1277,1277,15
1278,1278,6
1279,1279,15
1280,1280,2
1281,1281,1
1282,1282,9
1283,1283,2
1284,1284,6
1285,1285,1
1286,1286,11
1287,1287,3
1288,1288,14
1289,1289,9
1290,1290,9
1291,1291,14
1292,1292,15
1293,1293,16
1294,1294,19
1295,1295,11
1296,1296,1
1297,1297,9
1298,1298,16
1299,1299,12
1300,1300,4
1301,1301,19
1302,1302,16
1303,1303,7
1304,1304,1
1305,1305,15
1306,1306,1
1307,1307,4
1308,1308,1
1309,1309,9
1310,1310,18
1311,1311,20
1312,1312,13
1313,1313,2
1314,1314,10
1315,1315,16
1316,1316,11
1317,1317,14
1318,1318,11
1319,1319,14
1320,1320,4
1321,1321,18
1322,1322,3
1323,1323,10
1324,1324,20
1325,1325,8
1326,1326,1
1327,1327,16
1328,1328,13
1329,1329,11
1330,1330,6
1331,1331,2
1332,1332,16
1333,1333,10
1334,1334,9
1335,1335,5
1336,1336,16
1337,1337,15
1338,1338,10
1339,1339,19
1340,1340,15
1341,1341,10
1342,1342,13
1343,1343,4
1344,1344,12
1345,1345,5
1346,1346,12
1347,1347,20
1348,1348,11
1349,1349,9
1350,1350,13
1351,1351,16
1352,1352,14
1353,1353,4
1354,1354,19
1355,1355,3
1356,1356,6
1357,1357,20
1358,1358,10
1359,1359,14
1360,1360,14
1361,1361,19
1362,1362,19
1363,1363,18
1364,1364,7
1365,1365,2
1366,1366,11
1367,1367,2
1368,1368,9
1369,1369,5
1370,1370,18
1371,1371,6
1372,1372,17
1373,1373,3
1374,1374,11
1375,1375,7
1376,1376,11
1377,1377,14
1378,1378,12
1379,1379,14
1380,1380,20
1381,1381,20
1382,1382,19
1383,1383,15
1384,1384,15
1385,1385,16
1386,1386,7
1387,1387,16
1388,1388,17
1389,1389,12
1390,1390,5
1391,1391,9
1392,1392,14
1393,1393,11
1394,1394,8
1395,1395,4
1396,1396,7
1397,1397,15
1398,1398,8
1399,1399,6
1400,1400,11
1401,1401,5
1402,1402,16
1403,1403,17
1404,1404,20
1405,1405,16
1406,1406,12
1407,1407,10
1408,1408,4
1409,1409,5
1410,1410,5
1411,1411,14
1412,1412,9
1413,1413,6
1414,1414,15
1415,1415,20
1416,1416,14
1417,1417,16
1418,1418,8
1419,1419,10
1420,1420,20
1421,1421,9
1422,1422,20
1423,1423,13
1424,1424,3
1425,1425,18
1426,1426,15
1427,1427,12
1428,1428,13
1429,1429,5
1430,1430,15
1431,1431,14
1432,1432,5
1433,1433,3
1434,1434,6
1435,1435,19
1436,1436,10
1437,1437,11
1438,1438,4
1439,1439,15
1440,1440,8
1441,1441,2
1442,1442,20
1443,1443,4
1444,1444,11
1445,1445,18
1446,1446,3
1447,1447,4
1448,1448,4
1449,1449,19
1450,1450,3
1451,1451,15
1452,1452,15
1453,1453,17
1454,1454,3
1455,1455,17
1456,1456,18
1457,1457,7
1458,1458,19
1459,1459,5
1460,1460,8
1461,1461,3
1462,1462,12
1463,1463,9
1464,1464,12
1465,1465,5
1466,1466,15
1467,1467,13
1468,1468,13
1469,1469,7
1470,1470,16
1471,1471,4
1472,1472,8
1473,1473,5
1474,1474,12
1475,1475,15
1476,1476,7
1477,1477,14
1478,1478,13
1479,1479,18
1480,1480,17
1481,1481,3
1482,1482,5
1483,1483,8
1484,1484,17
1485,1485,5
1486,1486,15
1487,1487,18
1488,1488,13
1489,1489,19
1490,1490,20
1491,1491,20
1492,1492,20
1493,1493,7
1494,1494,16
1495,1495,13
1496,1496,15
1497,1497,13
1498,1498,3
1499,1499,15
1500,1500,11
1501,1501,19
1502,1502,12
1503,1503,7
1504,1504,8
1505,1505,14
1506,1506,7
1507,1507,2
1508,1508,9
1509,1509,11
1510,1510,11
1511,1511,8
1512,1512,8
1513,1513,8
1514,1514,2
1515,1515,11
1516,1516,11
1517,1517,14
1518,1518,20
1519,1519,17
1520,1520,13
1521,1521,16
1522,1522,2
1523,1523,2
1524,1524,11
1525,1525,8
1526,1526,20
1527,1527,3
1528,1528,5
1529,1529,13
1530,1530,6
1531,1531,3
1532,1532,5
1533,1533,9
1534,1534,18
1535,1535,10
1536,1536,3
1537,1537,17
1538,1538,11
1539,1539,10
1540,1540,12
1541,1541,9
1542,1542,11
1543,1543,17
1544,1544,15
1545,1545,10
1546,1546,1
1547,1547,17
1548,1548,3
1549,1549,7
1550,1550,18
1551,1551,16
1552,1552,3
1553,1553,4
1554,1554,2
1555,1555,15
1556,1556,9
1557,1557,2
1558,1558,1
1559,1559,15
1560,1560,6
1561,1561,14
1562,1562,8
1563,1563,1
1564,1564,18
1565,1565,2
1566,1566,18
1567,1567,10
1568,1568,6
1569,1569,3
1570,1570,9
1571,1571,9
1572,1572,9
1573,1573,13
1574,1574,8
1575,1575,3
1576,1576,16
1577,1577,19
1578,1578,16
1579,1579,6
1580,1580,5
1581,1581,5
1582,1582,14
1583,1583,9
1584,1584,6
1585,1585,11
1586,1586,17
1587,1587,2
1588,1588,11
1589,1589,6
1590,1590,13
1591,1591,20
1592,1592,3
1593,1593,4
1594,1594,3
1595,1595,19
1596,1596,9
1597,1597,16
1598,1598,11
1599,1599,16
1600,1600,14
1601,1601,10
1602,1602,10
1603,1603,5
1604,1604,13
1605,1605,11
1606,1606,9
1607,1607,2
1608,1608,20
1609,1609,17
1610,1610,11
1611,1611,18
1612,1612,5
1613,1613,6
1614,1614,16
1615,1615,2
1616,1616,14
1617,1617,6
1618,1618,20
1619,1619,11
1620,1620,10
1621,1621,16
1622,1622,5
1623,1623,16
1624,1624,14
1625,1625,1
1626,1626,18
1627,1627,2
1628,1628,12
1629,1629,20
1630,1630,12
1631,1631,16
1632,1632,4
1633,1633,8
1634,1634,14
1635,1635,16
1636,1636,4
1637,1637,12
1638,1638,14
1639,1639,9
1640,1640,15
1641,1641,10
1642,1642,15
1643,1643,7
1644,1644,6
1645,1645,4
1646,1646,14
1647,1647,6
1648,1648,9
1649,1649,11
1650,1650,9
1651,1651,2
1652,1652,15
1653,1653,4
1654,1654,1
1655,1655,16
1656,1656,16
1657,1657,1
1658,1658,19
1659,1659,5
1660,1660,1
1661,1661,16
1662,1662,11
1663,1663,6
1664,1664,13
1665,1665,18
1666,1666,4
1667,1667,2
1668,1668,5
1669,1669,20
1670,1670,18
1671,1671,16
1672,1672,9
1673,1673,12
1674,1674,11
1675,1675,12
1676,1676,3
1677,1677,16
1678,1678,19
1679,1679,3
1680,1680,7
1681,1681,5
1682,1682,16
1683,1683,12
1684,1684,4
1685,1685,12
1686,1686,8
1687,1687,5
1688,1688,16
1689,1689,8
1690,1690,19
1691,1691,15
1692,1692,8
1693,1693,5
1694,1694,20
1695,1695,7
1696,1696,9
1697,1697,5
1698,1698,20
1699,1699,15
1700,1700,7
1701,1701,1
1702,1702,15
1703,1703,13
1704,1704,17
1705,1705,19
1706,1706,16
1707,1707,13
1708,1708,14
1709,1709,6
1710,1710,2
1711,1711,11
1712,1712,14
1713,1713,9
1714,1714,5
1715,1715,8
1716,1716,11
1717,1717,10
1718,1718,10
1719,1719,2
1720,1720,9
1721,1721,12
1722,1722,8
1723,1723,9
1724,1724,3
1725,1725,2
1726,1726,2
1727,1727,17
1728,1728,14
1729,1729,8
1730,1730,18
1731,1731,4
1732,1732,8
1733,1733,14
1734,1734,18
1735,1735,20
1736,1736,20
1737,1737,17
1738,1738,2
1739,1739,16
1740,1740,13
1741,1741,11
1742,1742,4
1743,1743,13
1744,1744,15
1745,1745,18
1746,1746,19
1747,1747,20
1748,1748,4
1749,1749,11
1750,1750,10
1751,1751,14
1752,1752,20
1753,1753,17
1754,1754,9
1755,1755,1
1756,1756,11
1757,1757,20
1758,1758,10
1759,1759,4
1760,1760,4
1761,1761,3
1762,1762,17
1763,1763,9
1764,1764,12
1765,1765,14
1766,1766,7
1767,1767,14
1768,1768,13
1769,1769,10
1770,1770,7
1771,1771,18
1772,1772,13
1773,1773,10
1774,1774,1
1775,1775,18
1776,1776,20
1777,1777,17
1778,1778,1
1779,1779,11
1780,1780,5
1781,1781,8
1782,1782,15
1783,1783,10
1784,1784,7
1785,1785,19
1786,1786,14
1787,1787,17
1788,1788,19
1789,1789,11
1790,1790,6
1791,1791,16
1792,1792,18
1793,1793,7
1794,1794,2
1795,1795,10
1796,1796,4
1797,1797,9
1798,1798,7
1799,1799,3
1800,1800,13
1801,1801,15
1802,1802,17
1803,1803,5
1804,1804,18
1805,1805,3
1806,1806,8
1807,1807,3
1808,1808,1
1809,1809,9
1810,1810,13
1811,1811,17
1812,1812,3
1813,1813,15
1814,1814,8
1815,1815,18
1816,1816,8
1817,1817,5
1818,1818,3
1819,1819,2
1820,1820,3
1821,1821,18
1822,1822,9
1823,1823,1
1824,1824,18
1825,1825,16
1826,1826,5
1827,1827,3
1828,1828,13
1829,1829,12
1830,1830,10
1831,1831,16
1832,1832,2
1833,1833,1
1834,1834,20
1835,1835,19
1836,1836,19
1837,1837,6
1838,1838,1
1839,1839,14
1840,1840,17
1841,1841,16
1842,1842,2
1843,1843,11
1844,1844,20
1845,1845,7
1846,1846,4
1847,1847,20
1848,1848,6
1849,1849,17
1850,1850,4
1851,1851,11
1852,1852,15
1853,1853,11
1854,1854,15
1855,1855,15
1856,1856,3
1857,1857,4
1858,1858,19
1859,1859,16
1860,1860,13
1861,1861,16
1862,1862,2
1863,1863,5
1864,1864,16
1865,1865,1
1866,1866,5
1867,1867,3
1868,1868,7
1869,1869,17
1870,1870,12
1871,1871,15
1872,1872,20
1873,1873,6
1874,1874,4
1875,1875,10
1876,1876,2
1877,1877,7
1878,1878,9
1879,1879,18
1880,1880,10
1881,1881,12
1882,1882,4
1883,1883,20
1884,1884,9
1885,1885,14
1886,1886,8
1887,1887,19
1888,1888,2
1889,1889,11
1890,1890,16
1891,1891,7
1892,1892,4
1893,1893,2
1894,1894,20
1895,1895,16
1896,1896,19
1897,1897,4
1898,1898,15
1899,1899,1
1900,1900,18
1901,1901,19
1902,1902,12
1903,1903,1
1904,1904,5
1905,1905,1
1906,1906,14
1907,1907,15
1908,1908,9
1909,1909,3
1910,1910,13
1911,1911,1
1912,1912,7
1913,1913,8
1914,1914,17
1915,1915,11
1916,1916,12
1917,1917,12
1918,1918,19
1919,1919,15
1920,1920,4
1921,1921,15
1922,1922,1
1923,1923,8
1924,1924,15
1925,1925,9
1926,1926,12
1927,1927,11
1928,1928,20
1929,1929,20
1930,1930,19
1931,1931,1
1932,1932,1
1933,1933,13
1934,1934,17
1935,1935,14
1936,1936,4
1937,1937,16
1938,1938,10
1939,1939,1
1940,1940,16
1941,1941,8
1942,1942,13
1943,1943,14
1944,1944,19
1945,1945,15
1946,1946,4
1947,1947,1
1948,1948,10
1949,1949,19
1950,1950,16
1951,1951,2
1952,1952,17
1953,1953,2
1954,1954,3
1955,1955,11
1956,1956,8
1957,1957,14
1958,1958,10
1959,1959,13
1960,1960,12
1961,1961,7
1962,1962,8
1963,1963,7
1964,1964,17
1965,1965,18
1966,1966,2
1967,1967,3
1968,1968,11
1969,1969,20
1970,1970,8
1971,1971,9
1972,1972,8
1973,1973,16
1974,1974,20
1975,1975,20
1976,1976,4
1977,1977,12
1978,1978,12
1979,1979,8
1980,1980,7
1981,1981,4
1982,1982,5
1983,1983,19
1984,1984,2
1985,1985,11
1986,1986,13
1987,1987,4
1988,1988,6
1989,1989,2
1990,1990,1
1991,1991,18
1992,1992,13
1993,1993,19
1994,1994,3
1995,1995,15
1996,1996,13
